DestinationID,Name,State,Type,Popularity,BestTimeToVisit
78,Dutch Cemetery,Tamil Nadu,Historical,6.7132,Oct-Mar
79,Kailasanatha Temple,Tamil Nadu,Religious,7.5695,Oct-Mar
80,Vaikuntaperumal Temple,Tamil Nadu,Religious,6.8391,Oct-Mar
81,Tipu Sultan Palace,Karnataka,Historical,9.0887,Oct-Mar
82,Devanahalli Fort,Karnataka,Historical,8.3668,Oct-Mar
83,Gol Gumbaz,Karnataka,Historical,7.4865,Oct-Mar
84,Srirangapatna Fort,Karnataka,Historical,6.6817,Oct-Mar
85,Daria Daulat Bagh,Karnataka,Historical,7.4265,Oct-Mar
86,Halebidu Temple,Karnataka,Religious,7.4693,Oct-Mar
87,Belur Temple,Karnataka,Religious,8.6868,Oct-Mar
88,Badami Caves,Karnataka,Historical,8.4097,Oct-Mar
89,Pattadakal Group,Karnataka,Historical,9.1613,Oct-Mar
90,Aihole Temples,Karnataka,Historical,7.9119,Oct-Mar
91,Daulatabad Fort,Maharashtra,Historical,6.8504,Oct-Mar
92,Lonar Lake,Maharashtra,Nature,8.6376,Jul-Sep
93,Shivneri Fort,Maharashtra,Historical,8.7807,Oct-Mar
94,Bassein Fort,Maharashtra,Historical,8.1801,Oct-Mar
95,Bibi Ka Maqbara,Maharashtra,Historical,8.8113,Oct-Mar
96,Sun Temple,Gujarat,Historical,7.9769,Oct-Mar
97,Manjarabad Fort,Karnataka,Historical,8.064,Oct-Mar
98,Sarkhej Roja,Gujarat,Religious,7.7774,Oct-Mar
99,Champaner Fort,Gujarat,Historical,6.5668,Oct-Mar
100,Surya Pahar,Assam,Religious,6.8151,Oct-Mar
101,Bhangarh Fort,Rajasthan,Historical,6.5849,Oct-Mar
102,Fatehsagar Lake,Rajasthan,Nature,8.4062,Jul-Sep
103,City Palace Udaipur,Rajasthan,Historical,7.4367,Oct-Mar
104,Saheliyon Ki Bari,Rajasthan,Nature,8.0214,Jul-Sep
105,Eklingji Temple,Rajasthan,Religious,9.2226,Oct-Mar
106,Dilwara Temples,Rajasthan,Religious,7.2408,Oct-Mar
107,Nakki Lake,Rajasthan,Nature,7.7258,Jul-Sep
108,Guru Shikhar,Rajasthan,Nature,8.7649,Jul-Sep
109,Junagarh Fort,Rajasthan,Historical,7.1791,Oct-Mar
110,Karni Mata Temple,Rajasthan,Religious,6.7221,Oct-Mar
111,Pushkar Lake,Rajasthan,Religious,7.3626,Oct-Mar
112,Brahma Temple,Rajasthan,Religious,6.9757,Oct-Mar
113,Chittorgarh Fort,Rajasthan,Historical,9.2892,Oct-Mar
114,Ranthambore Fort,Rajasthan,Historical,8.9232,Oct-Mar
115,Bharatpur Bird Sanctuary,Rajasthan,Nature,8.3972,Jul-Sep
116,Deeg Palace,Rajasthan,Historical,9.1139,Oct-Mar
117,Taragarh Fort,Rajasthan,Historical,8.9098,Oct-Mar
118,Raniji Ki Baori,Rajasthan,Historical,7.052,Oct-Mar
119,Jaisalmer War Museum,Rajasthan,Historical,9.1774,Oct-Mar
120,Sam Sand Dunes,Rajasthan,Adventure,8.114,Apr-Jun
121,Patwon Ki Haveli,Rajasthan,Historical,8.9211,Oct-Mar
122,Gadisar Lake,Rajasthan,Nature,9.188,Jul-Sep
123,Kuldhara Village,Rajasthan,Historical,7.4477,Oct-Mar
124,Jaswant Thada,Rajasthan,Historical,6.8216,Oct-Mar
125,Umaid Bhawan Palace,Rajasthan,Historical,7.1765,Oct-Mar
126,Mandore Gardens,Rajasthan,Nature,7.7761,Jul-Sep
127,Kaylana Lake,Rajasthan,Nature,8.953,Jul-Sep
128,Chand Baori Stepwell,Rajasthan,Historical,9.0816,Oct-Mar
129,Jaigarh Fort,Rajasthan,Historical,6.5112,Oct-Mar
130,Nahargarh Fort,Rajasthan,Historical,8.0279,Oct-Mar
131,Jantar Mantar,Rajasthan,Historical,7.7469,Oct-Mar
132,Albert Hall Museum,Rajasthan,Historical,7.159,Oct-Mar
133,Galta Ji Temple,Rajasthan,Religious,6.8512,Oct-Mar
134,Birla Mandir,Rajasthan,Religious,7.5067,Oct-Mar
135,Chokhi Dhani,Rajasthan,Culture,9.329,Oct-Mar
136,Laxmi Vilas Palace,Gujarat,Historical,7.4633,Oct-Mar
137,Sayaji Baug,Gujarat,Nature,8.0522,Jul-Sep
138,Champaner-Pavagadh Park,Gujarat,Historical,8.6068,Oct-Mar
139,Sun Temple Modhera,Gujarat,Historical,7.585,Oct-Mar
140,Adalaj Stepwell,Gujarat,Historical,9.4159,Oct-Mar
141,Akshardham Temple,Gujarat,Religious,9.3878,Oct-Mar
142,Science City,Gujarat,Education,7.2483,Oct-Mar
143,Kankaria Lake,Gujarat,Nature,7.9873,Jul-Sep
144,Sidi Saiyyed Mosque,Gujarat,Historical,7.3961,Oct-Mar
145,Calico Museum of Textiles,Gujarat,Culture,7.3478,Oct-Mar
146,Lothal Ruins,Gujarat,Historical,6.6014,Oct-Mar
147,Dholavira,Gujarat,Historical,8.3254,Oct-Mar
148,Vijay Vilas Palace,Gujarat,Historical,8.0036,Oct-Mar
149,Mandvi Beach,Gujarat,Beach,6.6453,Mar-Jun
150,Blackbuck National Park,Gujarat,Nature,7.3292,Jul-Sep
151,Marine National Park,Gujarat,Nature,9.2247,Jul-Sep
152,Uparkot Fort,Gujarat,Historical,7.2115,Oct-Mar
153,Mahabat Maqbara,Gujarat,Historical,6.9265,Oct-Mar
154,Girnar Hill,Gujarat,Religious,7.9638,Oct-Mar
155,Nagoa Beach,Daman & Diu,Beach,9.4577,Mar-Jun
156,Diu Fort,Daman & Diu,Historical,7.219,Oct-Mar
157,Gangeshwar Mahadev Temple,Daman & Diu,Religious,8.5138,Oct-Mar
158,Jampore Beach,Daman & Diu,Beach,8.7832,Mar-Jun
159,Devka Beach,Daman & Diu,Beach,7.2057,Mar-Jun
160,Moti Daman Fort,Daman & Diu,Historical,8.6826,Oct-Mar
161,Shaniwar Wada,Maharashtra,Historical,7.5975,Oct-Mar
162,Aga Khan Palace,Maharashtra,Historical,8.3939,Oct-Mar
163,Sinhagad Fort,Maharashtra,Historical,8.3976,Oct-Mar
164,Dagdusheth Ganpati Temple,Maharashtra,Religious,8.1033,Oct-Mar
165,Raja Dinkar Kelkar Museum,Maharashtra,Culture,6.7621,Oct-Mar
166,Mulshi Dam,Maharashtra,Nature,9.005,Jul-Sep
167,Lonavala Lake,Maharashtra,Nature,7.456,Jul-Sep
168,Tiger Point,Maharashtra,Nature,7.0518,Jul-Sep
169,Bhaja Caves,Maharashtra,Historical,6.6131,Oct-Mar
170,Karla Caves,Maharashtra,Historical,8.2692,Oct-Mar
171,Lohagad Fort,Maharashtra,Historical,8.5301,Oct-Mar
172,Pratapgad Fort,Maharashtra,Historical,6.5402,Oct-Mar
173,Venna Lake,Maharashtra,Nature,8.032,Jul-Sep
174,Arthur's Seat,Maharashtra,Nature,7.1722,Jul-Sep
175,Mapro Garden,Maharashtra,Food,8.4326,Oct-Mar
176,Table Land,Maharashtra,Nature,7.0152,Jul-Sep
177,Parsi Point,Maharashtra,Nature,8.5704,Jul-Sep
178,Murud Janjira Fort,Maharashtra,Historical,7.6546,Oct-Mar
179,Alibaug Beach,Maharashtra,Beach,9.3104,Mar-Jun
180,Kashid Beach,Maharashtra,Beach,6.9043,Mar-Jun
181,Raigad Fort,Maharashtra,Historical,7.5171,Oct-Mar
182,Trimbakeshwar Temple,Maharashtra,Religious,6.8319,Oct-Mar
183,Panchavati,Maharashtra,Religious,9.2741,Oct-Mar
184,Sula Vineyards,Maharashtra,Leisure,9.1316,Oct-Mar
185,Pandavleni Caves,Maharashtra,Historical,7.2669,Oct-Mar
186,Harihareshwar Temple,Maharashtra,Religious,8.4772,Oct-Mar
187,Tadoba National Park,Maharashtra,Nature,8.9506,Jul-Sep
188,Pench National Park,Maharashtra,Nature,8.1618,Jul-Sep
189,Deekshabhoomi,Maharashtra,Religious,8.0848,Oct-Mar
190,Ambazari Lake,Maharashtra,Nature,7.2184,Jul-Sep
191,Khandoba Temple,Maharashtra,Religious,6.7706,Oct-Mar
192,Grishneshwar Temple,Maharashtra,Religious,9.1914,Oct-Mar
193,Malshej Ghat,Maharashtra,Nature,9.2011,Jul-Sep
194,Kanheri Caves,Maharashtra,Historical,8.3963,Oct-Mar
195,Sanjay Gandhi National Park,Maharashtra,Nature,7.511,Jul-Sep
196,Global Vipassana Pagoda,Maharashtra,Religious,7.5416,Oct-Mar
197,Mount Mary Church,Maharashtra,Religious,8.6758,Oct-Mar
198,Haji Ali Dargah,Maharashtra,Religious,9.1911,Oct-Mar
199,Juhu Beach,Maharashtra,Beach,9.1609,Mar-Jun
200,Chhatrapati Shivaji Museum,Maharashtra,Culture,8.8382,Oct-Mar
201,Lalbagh Botanical Garden,Karnataka,Nature,8.4232,Jul-Sep
202,Cubbon Park,Karnataka,Nature,6.7436,Jul-Sep
203,Bannerghatta Biological Park,Karnataka,Nature,6.9769,Jul-Sep
204,ISKCON Temple,Karnataka,Religious,9.1954,Oct-Mar
205,Visvesvaraya Museum,Karnataka,Education,8.316,Oct-Mar
206,Wonderla,Karnataka,Adventure,6.518,Apr-Jun
207,Nandi Hills,Karnataka,Nature,6.7958,Jul-Sep
208,Skandagiri Hills,Karnataka,Adventure,8.4878,Apr-Jun
209,Shivanasamudra Falls,Karnataka,Nature,6.5055,Jul-Sep
210,Talakadu,Karnataka,Historical,6.9744,Oct-Mar
211,Chamundi Hills,Karnataka,Religious,8.1423,Oct-Mar
212,Brindavan Gardens,Karnataka,Nature,8.5733,Jul-Sep
213,St. Philomena's Cathedral,Karnataka,Religious,8.4531,Oct-Mar
214,Karanji Lake,Karnataka,Nature,7.1655,Jul-Sep
215,Ranganathittu Bird Sanctuary,Karnataka,Nature,8.6344,Jul-Sep
216,Abbey Falls,Karnataka,Nature,7.2046,Jul-Sep
217,Raja's Seat,Karnataka,Nature,7.4699,Jul-Sep
218,Tala Kaveri,Karnataka,Religious,8.7377,Oct-Mar
219,Namdroling Monastery,Karnataka,Religious,8.4461,Oct-Mar
220,Dubare Elephant Camp,Karnataka,Adventure,9.0469,Apr-Jun
221,Iruppu Falls,Karnataka,Nature,8.4701,Jul-Sep
222,Murudeshwar Temple,Karnataka,Religious,8.2012,Oct-Mar
223,Netrani Island,Karnataka,Adventure,6.7723,Apr-Jun
224,Om Beach,Karnataka,Beach,7.5973,Mar-Jun
225,Kudle Beach,Karnataka,Beach,7.2887,Mar-Jun
226,Mahabaleshwar Temple,Karnataka,Religious,7.2249,Oct-Mar
227,Maravanthe Beach,Karnataka,Beach,9.4196,Mar-Jun
228,Udupi Krishna Temple,Karnataka,Religious,7.6737,Oct-Mar
229,Malpe Beach,Karnataka,Beach,9.1759,Mar-Jun
230,St. Mary's Island,Karnataka,Nature,8.3904,Jul-Sep
231,Chikmagalur Coffee Museum,Karnataka,Education,8.8831,Oct-Mar
232,Mullayanagiri Peak,Karnataka,Adventure,8.0035,Apr-Jun
233,Baba Budan Giri,Karnataka,Religious,8.2271,Oct-Mar
234,Hebbe Falls,Karnataka,Nature,7.9731,Jul-Sep
235,Bhadrachalam Temple,Telangana,Religious,7.0781,Oct-Mar
236,Ramappa Temple,Telangana,Historical,8.6653,Oct-Mar
237,Warangal Fort,Telangana,Historical,7.3356,Oct-Mar
238,Thousand Pillar Temple,Telangana,Religious,6.5635,Oct-Mar
239,Laknavaram Lake,Telangana,Nature,8.4335,Jul-Sep
240,Pakhal Lake,Telangana,Nature,7.0235,Jul-Sep
241,Kuntala Waterfall,Telangana,Nature,9.3216,Jul-Sep
242,Birla Mandir Hyderabad,Telangana,Religious,9.3622,Oct-Mar
243,Salur Jung Museum,Telangana,Culture,9.2445,Oct-Mar
244,Nehru Zoological Park,Telangana,Nature,7.6047,Jul-Sep
245,Ramoji Film City,Telangana,Leisure,6.5368,Oct-Mar
246,Hussain Sagar Lake,Telangana,Nature,9.2851,Jul-Sep
247,Chowmahalla Palace,Telangana,Historical,7.7794,Oct-Mar
248,Paigah Tombs,Telangana,Historical,9.4005,Oct-Mar
249,Qutb Shahi Tombs,Telangana,Historical,9.3913,Oct-Mar
250,KBR National Park,Telangana,Nature,9.0583,Jul-Sep
251,Kanaka Durga Temple,Andhra Pradesh,Religious,7.3768,Oct-Mar
252,Undavalli Caves,Andhra Pradesh,Historical,7.6497,Oct-Mar
253,Prakasam Barrage,Andhra Pradesh,Nature,9.0527,Jul-Sep
254,Bhavani Island,Andhra Pradesh,Adventure,7.4444,Apr-Jun
255,Kondapalli Fort,Andhra Pradesh,Historical,7.0006,Oct-Mar
256,Amaravati Stupa,Andhra Pradesh,Historical,8.1666,Oct-Mar
257,Srisailam Dam,Andhra Pradesh,Nature,9.3086,Jul-Sep
258,Mallikarjuna Jyotirlinga,Andhra Pradesh,Religious,8.5857,Oct-Mar
259,Akka Mahadevi Caves,Andhra Pradesh,Historical,8.2065,Oct-Mar
260,Ahobilam Temple,Andhra Pradesh,Religious,6.7829,Oct-Mar
261,Yaganti Temple,Andhra Pradesh,Religious,8.3418,Oct-Mar
262,Gandikota Fort,Andhra Pradesh,Historical,9.4709,Oct-Mar
263,Pennar River Gorge,Andhra Pradesh,Nature,6.912,Jul-Sep
264,Horsley Hills,Andhra Pradesh,Nature,8.0508,Jul-Sep
265,Talakona Waterfalls,Andhra Pradesh,Nature,9.1317,Jul-Sep
266,Chandragiri Fort,Andhra Pradesh,Historical,8.7204,Oct-Mar
267,Sri Kalahasti Temple,Andhra Pradesh,Religious,8.5887,Oct-Mar
268,Kailasagiri,Andhra Pradesh,Nature,8.6052,Jul-Sep
269,INS Kursura Museum,Andhra Pradesh,Education,7.5726,Oct-Mar
270,VUDA Park,Andhra Pradesh,Nature,7.3742,Jul-Sep
271,Yarada Beach,Andhra Pradesh,Beach,8.9269,Mar-Jun
272,Simhachalam Temple,Andhra Pradesh,Religious,8.9292,Oct-Mar
273,Bheemunipatnam Beach,Andhra Pradesh,Beach,9.1007,Mar-Jun
274,Kakinada Beach,Andhra Pradesh,Beach,9.2397,Mar-Jun
275,Hope Island,Andhra Pradesh,Nature,8.0297,Jul-Sep
276,Konaseema Backwaters,Andhra Pradesh,Nature,8.0001,Jul-Sep
277,Kolleru Lake,Andhra Pradesh,Nature,8.8936,Jul-Sep
278,Maredumilli Forests,Andhra Pradesh,Nature,8.4471,Jul-Sep
279,Padmapuram Gardens,Andhra Pradesh,Nature,8.6036,Jul-Sep
280,Tribal Museum Araku,Andhra Pradesh,Culture,8.8861,Oct-Mar
281,Bekal Fort,Kerala,Historical,9.1697,Oct-Mar
282,Kappil Beach,Kerala,Beach,7.5079,Mar-Jun
283,Anjengo Fort,Kerala,Historical,7.621,Oct-Mar
284,Jatayu Earth's Center,Kerala,Adventure,6.7732,Apr-Jun
285,Ashtamudi Lake,Kerala,Nature,8.2312,Jul-Sep
286,Munroe Island,Kerala,Nature,6.5985,Jul-Sep
287,Marari Beach,Kerala,Beach,7.892,Mar-Jun
288,Kumarakom Bird Sanctuary,Kerala,Nature,8.124,Jul-Sep
289,Vembanad Lake,Kerala,Nature,7.353,Jul-Sep
290,Vagamon Meadows,Kerala,Nature,8.269,Jul-Sep
291,Idukki Arch Dam,Kerala,Nature,6.5821,Jul-Sep
292,Eravikulam National Park,Kerala,Nature,6.6027,Jul-Sep
293,Mattupetty Dam,Kerala,Nature,8.9668,Jul-Sep
294,Anamudi Peak,Kerala,Nature,7.5747,Jul-Sep
295,Top Station,Kerala,Nature,6.8728,Jul-Sep
296,Athirappilly Falls,Kerala,Nature,8.0625,Jul-Sep
297,Vazhachal Falls,Kerala,Nature,8.8084,Jul-Sep
298,Guruvayur Temple,Kerala,Religious,7.14,Oct-Mar
299,Kerala Kalamandalam,Kerala,Culture,8.3655,Oct-Mar
300,Silent Valley National Park,Kerala,Nature,6.7473,Jul-Sep
301,Malampuzha Dam,Kerala,Nature,6.6459,Jul-Sep
302,Nelliyampathy Hills,Kerala,Nature,8.09,Jul-Sep
303,Kozhikode Beach,Kerala,Beach,8.1179,Mar-Jun
304,Kappad Beach,Kerala,Historical,8.4093,Oct-Mar
305,Thusharagiri Falls,Kerala,Nature,8.6762,Jul-Sep
306,Banasura Sagar Dam,Kerala,Nature,9.4282,Jul-Sep
307,Pookode Lake,Kerala,Nature,8.0447,Jul-Sep
308,Chembra Peak,Kerala,Adventure,7.4626,Apr-Jun
309,Kuruva Island,Kerala,Nature,8.8843,Jul-Sep
310,Muzhappilangad Drive-in Beach,Kerala,Beach,7.3057,Mar-Jun
311,St. Angelo Fort,Kerala,Historical,7.8119,Oct-Mar
312,Paithalmala,Kerala,Nature,6.7265,Jul-Sep
313,Padmanabhaswamy Temple,Kerala,Religious,6.5666,Oct-Mar
314,Napier Museum,Kerala,Culture,9.3884,Oct-Mar
315,Shangumugham Beach,Kerala,Beach,9.0071,Mar-Jun
316,Agasthyakoodam,Kerala,Adventure,8.5856,Apr-Jun
317,Poovar Island,Kerala,Nature,7.7215,Jul-Sep
318,Vivekananda Rock,Tamil Nadu,Historical,7.012,Oct-Mar
319,Thiruvalluvar Statue,Tamil Nadu,Historical,6.9613,Oct-Mar
320,Padmanabhapuram Palace,Tamil Nadu,Historical,7.2437,Oct-Mar
321,Vattakottai Fort,Tamil Nadu,Historical,8.1438,Oct-Mar
322,Thanumalayan Temple,Tamil Nadu,Religious,8.6416,Oct-Mar
323,Mathur Aqueduct,Tamil Nadu,Nature,8.4779,Jul-Sep
324,Arulmigu Ramanathaswamy Temple,Tamil Nadu,Religious,7.3331,Oct-Mar
325,Dhanushkodi Ghost Town,Tamil Nadu,Historical,9.365,Oct-Mar
326,Pamban Bridge,Tamil Nadu,Historical,8.7118,Oct-Mar
327,Kothandaramaswamy Temple,Tamil Nadu,Religious,8.1592,Oct-Mar
328,Thirumalai Nayakkar Mahal,Tamil Nadu,Historical,8.3319,Oct-Mar
329,Gandhi Memorial Museum,Tamil Nadu,Culture,7.7535,Oct-Mar
330,Alagar Koyil,Tamil Nadu,Religious,7.2361,Oct-Mar
331,Vandiyur Mariamman Teppakulam,Tamil Nadu,Historical,7.562,Oct-Mar
332,Chettinad Mansions,Tamil Nadu,Historical,8.7718,Oct-Mar
333,Ranganathaswamy Temple,Tamil Nadu,Religious,6.5336,Oct-Mar
334,Rockfort Temple,Tamil Nadu,Religious,6.8398,Oct-Mar
335,Jambukeswarar Temple,Tamil Nadu,Religious,6.6288,Oct-Mar
336,Kallanai Dam,Tamil Nadu,Historical,6.6129,Oct-Mar
337,Puliancholai Falls,Tamil Nadu,Nature,9.0657,Jul-Sep
338,Pichavaram Mangrove Forest,Tamil Nadu,Nature,8.6087,Jul-Sep
339,Nataraja Temple,Tamil Nadu,Religious,7.9178,Oct-Mar
340,Velankanni Church,Tamil Nadu,Religious,6.7848,Oct-Mar
341,Point Calimere Sanctuary,Tamil Nadu,Nature,7.9703,Jul-Sep
342,Thanjavur Maratha Palace,Tamil Nadu,Historical,7.9157,Oct-Mar
343,Saraswathi Mahal Library,Tamil Nadu,Culture,7.0117,Oct-Mar
344,Airavatesvara Temple,Tamil Nadu,Historical,7.7964,Oct-Mar
345,Gangaikonda Cholapuram,Tamil Nadu,Historical,7.69,Oct-Mar
346,Kumbakonam Temples,Tamil Nadu,Religious,8.3444,Oct-Mar
347,Doddabetta Peak,Tamil Nadu,Nature,8.4023,Jul-Sep
348,Pykara Falls,Tamil Nadu,Nature,6.6267,Jul-Sep
349,Mudumalai National Park,Tamil Nadu,Nature,7.6181,Jul-Sep
350,Emerald Lake,Tamil Nadu,Nature,8.3745,Jul-Sep
351,Coonoor Tea Estates,Tamil Nadu,Nature,8.005,Jul-Sep
352,Sim's Park,Tamil Nadu,Nature,9.0688,Jul-Sep
353,Dolphin's Nose,Tamil Nadu,Nature,8.4733,Jul-Sep
354,Silver Cascade Falls,Tamil Nadu,Nature,6.9808,Jul-Sep
355,Coakers Walk,Tamil Nadu,Nature,6.7028,Jul-Sep
356,Pillar Rocks,Tamil Nadu,Nature,8.4243,Jul-Sep
357,Bryant Park,Tamil Nadu,Nature,6.5701,Jul-Sep
358,Berijam Lake,Tamil Nadu,Nature,8.2538,Jul-Sep
359,Yercaud Lake,Tamil Nadu,Nature,9.3209,Jul-Sep
360,Pagoda Point,Tamil Nadu,Nature,8.2228,Jul-Sep
361,Hogenakkal Falls,Tamil Nadu,Nature,7.6589,Jul-Sep
362,Vellore Fort,Tamil Nadu,Historical,8.427,Oct-Mar
363,Golden Temple Vellore,Tamil Nadu,Religious,7.8699,Oct-Mar
364,Yelagiri Hills,Tamil Nadu,Nature,8.1329,Jul-Sep
365,Arignar Anna Zoological Park,Tamil Nadu,Nature,9.3246,Jul-Sep
366,Kapaleeshwarar Temple,Tamil Nadu,Religious,7.6527,Oct-Mar
367,Santhome Cathedral,Tamil Nadu,Religious,9.384,Oct-Mar
368,Guindy National Park,Tamil Nadu,Nature,9.2159,Jul-Sep
369,DakshinaChitra,Tamil Nadu,Culture,7.0797,Oct-Mar
370,Muttukadu Boat House,Tamil Nadu,Adventure,6.6991,Apr-Jun
371,Covelong Beach,Tamil Nadu,Beach,6.7937,Mar-Jun
372,Mahabalipuram Lighthouse,Tamil Nadu,Historical,6.5452,Oct-Mar
373,Five Rathas,Tamil Nadu,Historical,6.7746,Oct-Mar
374,Arjuna's Penance,Tamil Nadu,Historical,8.5465,Oct-Mar
375,Krishna's Butter Ball,Tamil Nadu,Nature,6.7046,Jul-Sep
376,Tiger Cave,Tamil Nadu,Historical,7.4506,Oct-Mar
377,Vedanthangal Bird Sanctuary,Tamil Nadu,Nature,9.0338,Jul-Sep
378,Auroville Matrimandir,Puducherry,Religious,6.5604,Oct-Mar
379,Promenade Beach,Puducherry,Beach,8.9423,Mar-Jun
380,Paradise Beach,Puducherry,Beach,7.3388,Mar-Jun
381,Sri Aurobindo Ashram,Puducherry,Religious,6.8461,Oct-Mar
382,French Quarter,Puducherry,Culture,8.5879,Oct-Mar
383,Basilica of the Sacred Heart,Puducherry,Religious,8.3838,Oct-Mar
384,Chunnambar Boat House,Puducherry,Adventure,9.132,Apr-Jun
385,Fort St. George,Tamil Nadu,Historical,8.7033,Oct-Mar
386,Government Museum,Tamil Nadu,Education,8.9092,Oct-Mar
387,Semmozhi Poonga,Tamil Nadu,Nature,7.3394,Jul-Sep
